gameId,start_time,duration,queue,win,championId,role,lane,kills,deaths,assists,damage_dealt,gold,cs,cspm_0,cspm_10,cspm_20,xppm_0,xppm_10,xppm_20,gpm_0,gpm_10,gpm_20,cspm_diff_0,cspm_diff_10,cspm_diff_20,xppm_diff_0,xppm_diff_10,xppm_diff_20
3917969612,1621821017.618,1324,420,False,85,SOLO,TOP,3,4,2,70921,7864,133,6.3999999999999995,5.8999999999999995,,462.1,553.6,,247.60000000000002,432.79999999999995,,-1.4000000000000004,1.6999999999999995,,-45.5,114.19999999999999,
3915774372,1621659720.382,1507,400,False,497,DUO_SUPPORT,BOTTOM,1,6,9,30583,6870,46,1.6,1.6,,264.2,250.3,,253.3,231.89999999999998,,0.050000000000000044,-0.8000000000000003,,24.099999999999994,-146.4,
3915697297,1621657239.468,2021,400,True,497,DUO_SUPPORT,BOTTOM,3,7,21,43032,10120,54,1.9,1.6,1.7999999999999998,232.9,319.2,601.6,178.5,321.3,324,1.3000000000000003,2,-2,26.200000000000017,99.69999999999999,-22.44999999999999
3915628770,1621654246.946,2139,440,False,497,DUO_SUPPORT,BOTTOM,3,9,8,38600,8633,59,1.2,2.3,1.4,229.2,310.79999999999995,480.8,255.3,244.5,203.1,-0.6000000000000001,0.19999999999999973,1.5,-21.900000000000006,24.30000000000001,-42.74999999999997
3915610739,1621651303.787,2481,420,False,51,DUO_CARRY,BOTTOM,11,6,21,171265,15745,189,6.6,6.6,3.0999999999999996,324.2,429.9,465,277.6,387.3,359.1,-0.8500000000000005,0.5999999999999999,-1.1102230246251565e-16,13.749999999999972,21.75000000000003,-135.55000000000004
3915563920,1621649006.681,1770,420,False,81,DUO_CARRY,BOTTOM,3,9,4,112038,9965,176,6.9,5.2,,315.79999999999995,313.6,,242.9,341.29999999999995,,-0.40000000000000013,-1.0000000000000002,,-36.65000000000002,-181.6,
3915321436,1621633078.826,1573,420,True,51,DUO_CARRY,BOTTOM,4,5,14,95584,10507,159,7,7,,325.2,426.90000000000003,,313.20000000000005,393.2,,1.9,0.5999999999999999,,52.14999999999999,-13.649999999999949,
3914870246,1621578316.616,1742,400,False,39,SOLO,MIDDLE,12,10,6,147157,14621,183,7.9,4.1,,492.2,404,,380.1,561.5,,2,-2.1,,84.6,-95.4,
3914775914,1621576088.054,1752,400,False,39,SOLO,MIDDLE,1,8,1,143173,9841,197,8.3,5.9,,469.6,329.3,,289.8,289.2,,,,,,,
3912383087,1621405448.82,1533,440,True,427,NONE,JUNGLE,2,1,18,331154,9909,21,0.2,1.5999999999999999,,334.3,526.8,,252.70000000000002,407.4,,0.1,1.5,,7.300000000000011,161.60000000000002,
3912248913,1621403330.026,1803,440,False,498,DUO_CARRY,BOTTOM,5,9,9,90295,10353,141,6.2,5.2,2.7,257.20000000000005,305.9,578.3,241.7,339.3,403.6,0.7,0.5500000000000002,-1.0499999999999998,8.750000000000043,-117.65000000000003,-69.4
3912272306,1621400758.377,1984,400,False,133,SOLO,TOP,6,11,10,109193,11780,149,7.6,5,1.8,497.1,382.9,513,303.5,301.7,419,1.4999999999999996,-1.7999999999999998,-4.2,104,-199.50000000000003,-42.89999999999995
3912117018,1621398749.282,1563,400,False,51,DUO_CARRY,BOTTOM,4,11,2,64897,8592,129,6,5.1,,246.5,399.7,,239.6,368.6,,0.8500000000000001,-0.2999999999999998,,-4.900000000000034,-128.64999999999998,
3912083183,1621397183.089,1054,400,True,115,DUO_SUPPORT,NONE,3,2,3,58320,6485,92,5.8,,,317.3,,,297.9,,,1.3599999999999999,,,54.95999999999998,,
3912024782,1621394556.662,1729,420,True,51,DUO_CARRY,BOTTOM,9,7,19,120460,12917,148,5.6,6.6,,281.8,455.90000000000003,,272.8,494.9,,-0.4500000000000004,-1.65,,-74.80000000000001,-45.94999999999999,
3911957569,1621392301.035,1572,420,True,74,DUO_CARRY,BOTTOM,8,3,8,101514,10818,141,5.9,6.6,,347.7,506.1,,293.5,473.6,,-2.220446049250313e-16,-0.3500000000000003,,48.349999999999994,87.64999999999995,
3911902957,1621390692.256,1186,420,True,51,DUO_SUPPORT,NONE,9,1,8,73896,9880,121,8,,,369.9,,,428.90000000000003,,,1.6199999999999999,,,86.97999999999999,,
3911646170,1621376369.144,2018,420,True,161,DUO_SUPPORT,BOTTOM,1,7,8,77739,8995,83,1,3.4,3.2,272.5,401.1,387.5,186.2,292.9,237.3,-0.75,1.2999999999999998,1.8499999999999999,3.1500000000000057,72.85,78.89999999999998
3911673636,1621375084.233,945,420,False,161,DUO_SUPPORT,NONE,0,6,1,18448,3725,22,0.6,,,232.9,,,198,,,-0.5399999999999996,,,-26.93999999999994,,
3910982309,1621311931.026,2403,400,True,161,DUO_SUPPORT,BOTTOM,15,12,13,121982,15894,76,0.7,3.6999999999999997,1.5,287.7,581.9,528.4000000000001,349.6,456.3,347.5,0.5999999999999999,1.25,1.5,43.099999999999994,114.75000000000003,220.95
3910473467,1621280571.118,935,420,False,51,DUO_SUPPORT,NONE,0,3,1,33004,3736,71,4.1,,,265.9,,,191.1,,,-0.7400000000000009,,,-79.69999999999999,,
3910368019,1621277012.819,2908,420,False,81,DUO_CARRY,BOTTOM,14,8,15,279227,19940,213,5.5,3.5,3.5,279.8,312.9,480.2,291.9,320.5,350.70000000000005,-1.2499999999999998,-1.75,-2.8499999999999996,16.749999999999986,-116.99999999999997,-105.39999999999998
3909416586,1621215150.721,2147,420,False,51,DUO_CARRY,BOTTOM,8,8,13,169250,14837,180,5.8,6.1,4.1,344.4,474.6,557.6,319.8,405.20000000000005,496.3,-0.40000000000000013,0.19999999999999973,0.15000000000000013,35.64999999999998,63.64999999999998,6.450000000000017
3908878448,1621175927.669,1988,420,False,51,DUO_CARRY,BOTTOM,1,5,9,165612,11180,195,6.6,6.6,4,290,381.3,381.4,262.29999999999995,357.9,308.2,0.3999999999999999,0.9500000000000002,0.8500000000000001,21.34999999999998,-3.700000000000017,-144.49999999999991
3908187253,1621125951.543,1539,420,True,51,DUO_CARRY,BOTTOM,9,4,10,96123,11063,122,5.9,4.8,,319.70000000000005,438.6,,253.3,486.6,,-0.25,0.40000000000000013,,20.099999999999994,72.1,
3908230451,1621123440.242,2139,420,False,51,DUO_CARRY,BOTTOM,10,8,5,160883,14646,202,7.4,7.800000000000001,3.6,288.7,425.3,391.5,278.3,544.1,435.20000000000005,-0.5500000000000003,-0.75,-0.95,-33.19999999999999,-8.150000000000006,-7
3908118382,1621121907.716,1021,420,False,222,DUO_SUPPORT,NONE,0,5,1,27857,3851,69,4.4,,,203.39999999999998,,,184.3,,,0.20000000000000018,,,-44.74000000000001,,
3906858165,1621043168.314,1835,420,True,147,DUO_SUPPORT,BOTTOM,2,3,13,44245,8757,26,0.6,1.2000000000000002,0.8,283.6,304.1,439.5,235.60000000000002,243.3,293.8,,,,,,
3906873185,1621041417.748,1399,420,False,101,DUO_SUPPORT,BOTTOM,1,6,3,39188,6190,26,0.3,1.1,,274.5,314.29999999999995,,179.1,201,,1.5000000000000002,-0.5999999999999994,,19.549999999999983,-121.25,
3906838657,1621039706.773,1283,420,False,101,DUO_SUPPORT,TOP,1,8,4,34106,5448,32,0.2,2.5,,143.3,376.3,,155.9,273.5,,,,,,,
3906603735,1621021285.412,2340,420,True,101,DUO_SUPPORT,BOTTOM,3,9,11,77976,11611,70,0.30000000000000004,0.30000000000000004,3.2,226.79999999999998,246.1,719,184.7,217.5,358.9,0.4500000000000004,-0.6000000000000001,3.6,16.65000000000002,-110.05000000000001,252.10000000000005
3906559464,1621018804.891,1794,420,False,57,DUO_SUPPORT,BOTTOM,4,13,12,41511,8507,36,1.8,1.4,,281.20000000000005,327.2,,212.3,263.5,,2.220446049250313e-16,-0.7,,1.2500000000000142,-157.89999999999998,
3906506952,1621016850.389,1621,420,False,57,DUO_SUPPORT,BOTTOM,2,7,3,23186,6043,16,0.4,1,,236.6,215.89999999999998,,181.5,247.6,,4.440892098500626e-16,-0.6499999999999997,,-2.4499999999999886,-92.75000000000003,
3906456556,1621009986.427,1962,420,True,101,DUO_SUPPORT,BOTTOM,9,10,13,60771,12204,41,0.3,1.4,2,317.1,334,418.4,228.6,370.4,377.5,2.05,1.05,-1.1499999999999997,72.50000000000004,-37.95000000000002,-33.04999999999998
3902972770,1620788184.138,1307,420,False,150,SOLO,TOP,1,7,5,62152,6621,93,3.5999999999999996,5,,349.1,453.5,,206.7,335.3,,-3,-1.5000000000000002,,-144.20000000000002,-131.70000000000005,
3902804006,1620781952.018,1371,420,False,142,SOLO,MIDDLE,3,9,5,49141,6799,106,6.699999999999999,3.7,,424.6,395.6,,244,331.1,,,,,,,
3902416486,1620750661.128,2393,420,False,136,SOLO,MIDDLE,4,9,18,161844,14132,189,5.8,6.1,3.0999999999999996,403.29999999999995,536.1,442.8,253.2,440.5,338.1,0.2999999999999998,0.5,-0.30000000000000004,-60.80000000000001,63.10000000000002,-21.399999999999977
3900722195,1620624695.373,1654,440,True,136,SOLO,MIDDLE,3,5,17,89590,9895,147,6.800000000000001,5,,401.4,496.8,,254.39999999999998,372.4,,3.2,0.10000000000000031,,-57.80000000000004,64.80000000000001,
3900588712,1620619739.489,1559,700,False,6,SOLO,TOP,1,7,0,92044,7747,157,6.9,6.8,,434.20000000000005,453.9,,239.4,281.9,,,,,,,
3900498460,1620616085.592,2157,700,True,432,DUO_SUPPORT,BOTTOM,0,9,12,52620,9164,37,0,1.1,1.6,191.3,359.7,363.4,183.3,213,263.8,,,,,,
3900447407,1620612778.079,2386,700,False,117,DUO_SUPPORT,BOTTOM,0,4,8,16995,8144,28,0.4,0.8,1.1,264.6,322.1,180.6,148.10000000000002,210,199.5,-1.7000000000000002,-0.15000000000000013,-1.05,-19.599999999999994,53.64999999999998,-38.70000000000002
3899350955,1620526082.644,2048,700,False,6,SOLO,TOP,4,6,0,163277,12073,241,6.5,9.1,5.2,406.3,585.8,370.9,262.9,436.8,330.29999999999995,0.8999999999999999,1.4,-0.4999999999999998,-69.30000000000001,36.200000000000045,-275.5
3894409484,1620191690.933,1893,430,False,157,SOLO,MIDDLE,4,15,4,180355,12642,218,5,7.5,9.3,321.29999999999995,510.5,674.4,200.4,389.4,543.5,-2,-0.3999999999999999,1.8000000000000003,-191.20000000000005,-138.3,-22.599999999999994
3894415068,1620190226.212,1169,440,False,161,DUO_SUPPORT,NONE,1,9,0,50825,5537,103,4.9,,,346.4,,,195.5,,,-0.9200000000000002,,,-23.319999999999965,,
3894391776,1620188948.8,890,440,False,142,DUO_SUPPORT,NONE,1,5,1,31799,4356,77,5.5,,,447.70000000000005,,,243.3,,,-0.9200000000000004,,,-60.84,,
3893527330,1620155344.868,1623,420,True,36,NONE,JUNGLE,6,8,8,135120,10002,14,0.4,1,,343.5,433.1,,296.9,369.3,,2.7755575615628914e-17,-5.551115123125783e-17,,14.599999999999994,-22.80000000000001,
3891546540,1620022080.868,2322,440,False,7,SOLO,MIDDLE,5,13,12,118409,12365,179,6.2,4.4,3.9000000000000004,423.2,310.4,473.4,295.7,268.2,307.9,1.2,-2.1,-0.09999999999999987,27.400000000000006,-192.6,15.299999999999983
3891467111,1620018342.446,2516,440,False,62,NONE,JUNGLE,6,11,11,212472,15499,102,1.2000000000000002,0.6000000000000001,2.1,269.4,400.9,480.2,210.1,432.7,385.4,0.6000000000000001,-0.4,0.20000000000000018,-79.69999999999999,-135.4,-311.5
3891521508,1620016997.096,924,400,True,427,DUO_SUPPORT,NONE,0,1,9,215210,4722,7,0,,,333.5,,,244.5,,,0.4800000000000002,,,36.68000000000001,,
3891442412,1620014149.211,1527,700,False,267,DUO_SUPPORT,BOTTOM,1,4,4,10644,5495,15,0.7999999999999999,0.5,,320.79999999999995,184.3,,195.89999999999998,204.2,,-0.6499999999999999,-1.45,,23.799999999999983,-68.74999999999997,
3891324216,1620011326.565,1491,700,True,267,DUO_SUPPORT,BOTTOM,0,1,17,21281,7315,23,0.5,0.4,,251.29999999999998,314.2,,216.4,267.5,,1.2000000000000002,0.40000000000000036,,27.200000000000017,71.24999999999994,
3891252643,1620008024.589,1590,700,True,117,DUO_SUPPORT,BOTTOM,3,4,18,18188,8071,16,0.2,0.8999999999999999,,225.2,345.1,,216.20000000000002,313.6,,-1.0999999999999996,-0.5499999999999996,,-12.499999999999972,79.89999999999998,
3889967247,1619923707.289,1633,700,False,526,DUO_SUPPORT,BOTTOM,2,6,5,20270,6022,35,1.5,2,,265.7,355.8,,166,265.2,,0.15000000000000036,-0.24999999999999978,,12.59999999999998,-46.39999999999998,
3889877708,1619920852.297,1928,700,True,117,DUO_SUPPORT,BOTTOM,1,7,24,20854,8186,27,0.5,1.2000000000000002,0.8,248.7,290.3,477,215.7,224.6,270.7,0,0.7999999999999998,-0.45000000000000007,11.949999999999974,20.900000000000034,168.7
3888388092,1619839737.686,1249,440,True,81,DUO_CARRY,BOTTOM,3,2,8,65590,8083,135,6.4,6.7,,316.8,479.7,,288.8,434.09999999999997,,0.6999999999999997,0.8,,42.099999999999994,46.94999999999999,
3888318938,1619837186.749,2190,440,False,141,NONE,JUNGLE,4,13,6,159946,10278,36,0,0.9,0.8999999999999999,288.6,397.5,338.9,246.8,320,250,-0.1,0.30000000000000004,-0.30000000000000004,-66.89999999999999,-102.20000000000002,-170.9
3888320880,1619834904.332,1416,440,False,201,DUO_SUPPORT,BOTTOM,1,5,6,14014,5026,22,1.2,0.8,,202.10000000000002,360.29999999999995,,149.4,203.9,,0.04999999999999982,-0.3999999999999999,,-86.15,-42.099999999999994,
3888179687,1619831350.23,1134,400,True,26,DUO_SUPPORT,NONE,2,3,11,21434,6313,20,0.9,,,300.7,,,248.79999999999998,,,-0.5599999999999998,,,0.12000000000001876,,
3886560628,1619740463.191,2505,420,False,103,SOLO,MIDDLE,6,11,15,131226,12214,155,5.2,3.5999999999999996,2.3,443,379.9,364.8,283.6,270.9,281,0.10000000000000009,-0.9000000000000004,-0.2999999999999998,-50.099999999999994,-102.5,5.800000000000011
3886290953,1619722952.341,2478,420,True,136,SOLO,MIDDLE,6,8,27,184505,15496,219,5.4,8,5.1,443.29999999999995,594.2,478.6,263.4,499.4,452.8,-0.5999999999999996,2.6000000000000005,2.3,-23.80000000000004,26.200000000000017,219
3886227154,1619721081.705,1444,420,False,102,SOLO,TOP,0,5,3,78263,7094,132,6.7,5,,455.29999999999995,374.6,,235.89999999999998,318.9,,,,,,,
3883830604,1619573788.322,1843,440,True,117,DUO_SUPPORT,BOTTOM,2,8,20,22774,9306,26,0.2,1.5,0.8999999999999999,272.5,317.5,565.4000000000001,215.1,304.20000000000005,328.9,-0.19999999999999996,0.8999999999999999,-2.15,19.39999999999999,73.94999999999996,20.700000000000074
3883766500,1619572405.935,969,440,True,526,DUO_SUPPORT,NONE,5,3,8,12752,5453,22,1.2999999999999998,,,239.1,,,238.3,,,0.7000000000000002,,,56.14000000000004,,
3883550900,1619555497.139,2448,400,False,60,NONE,JUNGLE,2,11,5,135766,10017,28,0,0.4,0.7,226.2,311.70000000000005,228.10000000000002,191.7,305,170.10000000000002,-0.5,-1.0999999999999999,-2,-116.3,-210.39999999999998,-399.29999999999995
3883476553,1619553023.058,1697,400,True,141,NONE,JUNGLE,11,5,13,148007,12247,41,1.3,0.30000000000000004,,284.20000000000005,423,,322.6,409.79999999999995,,1.1,-2.3,,-41.599999999999966,-219.2,
3883461767,1619549725.788,2356,400,False,134,SOLO,MIDDLE,8,8,9,167256,13598,214,6.9,7.7,3.7,531.3,487,347.6,317.5,446.8,344.4,0.8999999999999999,0.3000000000000007,-0.19999999999999973,153,-38.599999999999966,-164.70000000000002
3882342483,1619476819.085,1566,420,True,25,DUO_SUPPORT,MIDDLE,9,9,15,33225,10105,16,0.3,0.5,,274.6,392.3,,309.9,345.20000000000005,,,,,,,
3882287021,1619474446.378,1870,420,True,12,DUO_SUPPORT,BOTTOM,2,6,24,21195,8874,33,1.4,1.1,0.7,257.29999999999995,278.9,520,214.8,291.4,282.6,-0.25,-0.7000000000000002,-0.6500000000000001,54.14999999999998,-44.79999999999998,115.15000000000003
3880952134,1619382266.059,1417,440,True,89,DUO_SUPPORT,BOTTOM,1,5,22,22388,7349,28,1.4,1.2,,292.8,368.70000000000005,,215.29999999999998,272.2,,1.1500000000000001,1.45,,55.050000000000026,119.4,
3880848279,1619379945.022,1991,440,False,432,DUO_SUPPORT,BOTTOM,5,11,22,34657,10185,29,0.5,0.7,1.4,253.70000000000002,406.8,446.29999999999995,247.8,391.8,222.89999999999998,-0.050000000000000044,-0.6500000000000001,-0.8000000000000002,18.999999999999986,-42.099999999999966,-266.95000000000005
3880814352,1619377605.954,1363,420,False,82,DUO,BOTTOM,3,7,3,66940,7165,113,5.300000000000001,5.4,,393.59999999999997,446.2,,258.5,351.3,,,,,,,
3880759152,1619375051.645,2151,420,True,6,DUO,TOP,7,12,11,197834,14082,209,5.6,5.9,4.3,387.7,458.4,545.4,306.6,304.8,401.5,,,,,,
3880707319,1619373112.606,1620,420,False,887,SOLO,TOP,1,9,2,56255,7077,104,3.0999999999999996,5.5,,283.2,396.3,,178.60000000000002,309.3,,,,,,,
